idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
129,6.533333333333333,0.2269952498697736,-0.44550326209418384,-13.341666666666669,1.399589775345376,0.7131266093906602,2.8333333333333335,-0.7131266093906602,1.399589775345376,0.4722222222222222,0,70,0,0,0
130,6.583333333333334,0.29389262614623646,-0.40450849718747384,-13.483333333333334,1.2708009230788153,0.9232909152452279,2.8333333333333335,-0.9232909152452279,1.2708009230788153,0.4722222222222222,0,70,0,0,0
131,6.633333333333333,0.3535533905932733,-0.35355339059327423,-13.625,1.110720734539593,1.11072073453959,2.8333333333333335,-1.11072073453959,1.110720734539593,0.4722222222222222,0,70,0,0,0
132,6.683333333333334,0.4045084971874735,-0.29389262614623674,-13.766666666666667,0.923290915245229,1.2708009230788144,2.8333333333333335,-1.2708009230788144,0.9232909152452289,0.4722222222222222,0,70,0,0,0
133,6.733333333333333,0.445503262094184,-0.2269952498697732,-13.908333333333335,0.7131266093906591,1.3995897753453768,2.8333333333333335,-1.3995897753453765,0.713126609390659,0.4722222222222222,0,70,0,0,0
134,6.783333333333333,0.47552825814757704,-0.1545084971874731,-14.05,0.48540275968136465,1.4939160823707784,2.8333333333333335,-1.4939160823707784,0.4854027596813647,0.4722222222222222,0,70,0,0,0
135,6.833333333333334,0.4938441702975689,-0.07821723252011524,-14.191666666666666,0.2457266830693187,1.5514572174249892,2.8333333333333335,-1.5514572174249892,0.24572668306931866,0.4722222222222222,0,70,0,0,0
136,6.883333333333333,0.5,-2.4492935982947064e-16,-14.333333333333332,7.694682774887159e-16,1.5707963267948966,2.8333333333333335,-1.5707963267948966,7.694682774887159e-16,0.4722222222222222,0,70,0,0,0
137,6.933333333333334,0.4938441702975689,0.07821723252011563,-14.475,-0.2457266830693199,1.551457217424989,2.8333333333333335,-1.551457217424989,-0.2457266830693199,0.4722222222222222,0,70,0,0,0
138,6.983333333333334,0.4755282581475766,0.1545084971874743,-14.616666666666669,-0.4854027596813684,1.4939160823707773,2.8333333333333335,-1.4939160823707773,-0.4854027596813684,0.4722222222222222,0,70,0,0,0
139,7.033333333333333,0.44550326209418345,0.22699524986977435,-14.758333333333335,-0.7131266093906626,1.399589775345375,2.8333333333333335,-1.399589775345375,-0.7131266093906625,0.4722222222222222,0,70,0,0,0
140,7.083333333333334,0.40450849718747384,0.29389262614623635,-14.9,-0.9232909152452277,1.2708009230788153,2.8333333333333335,-1.2708009230788153,-0.9232909152452277,0.4722222222222222,0,70,0,0,0
141,7.133333333333333,0.3535533905932736,0.3535533905932739,-15.041666666666668,-1.110720734539592,1.110720734539591,2.8333333333333335,-1.110720734539591,-1.110720734539592,0.4722222222222222,0,70,0,0,0
142,7.183333333333334,0.29389262614623757,0.40450849718747306,-15.183333333333334,-1.2708009230788129,0.9232909152452313,2.8333333333333335,-0.9232909152452314,-1.2708009230788129,0.4722222222222222,0,70,0,0,0
143,7.233333333333334,0.22699524986977404,0.4455032620941836,-15.325000000000001,-1.3995897753453754,0.7131266093906615,2.8333333333333335,-0.7131266093906615,-1.3995897753453754,0.4722222222222222,0,70,0,0,0
144,7.283333333333333,0.15450849718747395,0.4755282581475767,-15.466666666666669,-1.493916082370778,0.4854027596813675,2.8333333333333335,-0.4854027596813675,-1.4939160823707778,0.4722222222222222,0,70,0,0,0
145,7.333333333333334,0.07821723252011525,0.4938441702975689,-15.608333333333334,-1.5514572174249892,0.24572668306931877,2.8333333333333335,-0.24572668306931877,-1.5514572174249892,0.4722222222222222,0,70,0,0,0
146,7.383333333333333,2.220446049250313e-16,0.5,-15.75,-1.5707963267948966,8.656518121748054e-16,2.8333333333333335,-8.656518121748054e-16,-1.5707963267948966,0.4722222222222222,0,70,0,0,0
147,7.433333333333334,-0.0782172325201147,0.493844170297569,-15.891666666666666,-1.5514572174249894,-0.24572668306931708,2.8333333333333335,0.2457266830693171,-1.5514572174249894,0.4722222222222222,0,70,0,0,0
148,7.483333333333334,-0.15450849718747428,0.4755282581475766,-16.033333333333335,-1.4939160823707773,-0.4854027596813684,2.8333333333333335,0.4854027596813684,-1.4939160823707773,0.4722222222222222,0,70,0,0,0
149,7.533333333333333,-0.22699524986977354,0.44550326209418384,-16.175,-1.399589775345376,-0.71312660939066,2.8333333333333335,0.71312660939066,-1.399589775345376,0.4722222222222222,0,70,0,0,0
150,7.583333333333334,-0.29389262614623707,0.40450849718747334,-16.316666666666666,-1.2708009230788138,-0.9232909152452299,2.8333333333333335,0.9232909152452299,-1.2708009230788138,0.4722222222222222,0,70,0,0,0
151,7.633333333333333,-0.35355339059327323,0.3535533905932743,-16.458333333333332,-1.110720734539593,-1.1107207345395897,2.8333333333333335,1.1107207345395897,-1.110720734539593,0.4722222222222222,0,70,0,0,0
152,7.683333333333334,-0.40450849718747456,0.29389262614623535,-16.6,-0.9232909152452246,-1.2708009230788175,2.8333333333333335,1.2708009230788175,-0.9232909152452246,0.4722222222222222,0,70,0,0,0
153,7.733333333333334,-0.445503262094184,0.22699524986977326,-16.741666666666667,-0.7131266093906591,-1.3995897753453768,2.8333333333333335,1.3995897753453765,-0.7131266093906591,0.4722222222222222,0,70,0,0,0
154,7.783333333333333,-0.475528258147577,0.15450849718747314,-16.883333333333333,-0.4854027596813648,-1.4939160823707784,2.8333333333333335,1.4939160823707784,-0.4854027596813648,0.4722222222222222,0,70,0,0,0
