idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
58,2.9499999999999997,1.35,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
59,3.0,1.4249999999999998,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
60,3.05,1.5,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
61,3.0999999999999996,1.5750000000000002,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
62,3.15,1.6500000000000001,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
63,3.2,1.7249999999999999,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
64,3.25,1.7999999999999998,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
65,3.3,1.875,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
66,3.3499999999999996,1.9500000000000002,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
67,3.4,2.0250000000000004,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
68,3.45,2.0999999999999996,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
69,3.5,2.175,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
70,3.55,2.25,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
71,3.5999999999999996,2.325,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
72,3.65,2.4000000000000004,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
73,3.7,2.4749999999999996,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
74,3.75,2.55,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
75,3.8,2.625,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
76,3.8499999999999996,2.7,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
77,3.9,2.7750000000000004,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
78,3.95,2.8499999999999996,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
79,4.0,2.925,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
80,4.05,3.0,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
81,4.1,3.0749999999999997,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
82,4.15,3.1500000000000004,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
83,4.199999999999999,3.2249999999999996,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
84,4.25,3.3000000000000003,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
85,4.3,3.375,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
86,4.35,3.4499999999999997,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
87,4.4,3.5250000000000004,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
88,4.45,3.5999999999999996,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
89,4.5,3.6750000000000003,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
90,4.55,3.75,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
91,4.6,3.8249999999999997,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
92,4.65,3.9000000000000004,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
93,4.7,3.9749999999999996,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
94,4.75,4.050000000000001,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
95,4.8,4.125,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
96,4.85,4.199999999999999,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
97,4.9,4.275,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
98,4.95,4.35,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
99,5.0,4.425000000000001,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
100,5.05,4.5,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
101,5.1,4.574999999999999,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
102,5.15,4.65,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
103,5.2,4.725,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
104,5.25,4.800000000000001,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
105,5.3,4.875,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
106,5.35,4.949999999999999,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
107,5.4,5.025,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
108,5.45,5.1,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
109,5.5,5.175000000000001,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
110,5.55,5.25,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
111,5.6,5.324999999999999,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
112,5.65,5.4,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
113,5.7,5.475,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
114,5.75,5.550000000000001,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
115,5.8,5.625,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
116,5.85,5.699999999999999,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
117,5.9,5.775,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
118,5.95,5.85,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
119,6.0,5.925000000000001,0.0,-3.0,1.5,0.0,0.0,0,0,0,0,50,0,0,0
120,6.05,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
121,6.1,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
122,6.1499999999999995,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
123,6.2,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
124,6.25,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
125,6.3,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
126,6.35,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
127,6.3999999999999995,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
128,6.45,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
129,6.5,6.0,0.0,-3,0,0,0,0,0,0,0,60,0,0,0
130,6.55,6.0,0.0,-3,-0.0,3.7699111843077517,0,-2.368705056261446,-0.0,0,0,70,0,0,0
