idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
338,16.9,0.4181138530706141,3.978087581473093,-3.5,-0.8331687147528438,0.08756956061138417,0,-0.018340525886320708,-0.17449844756455893,0,0,70,0,0,0
339,16.950000000000003,0.3764332532740573,3.98224785841232,-3.5,-0.8340400411174554,0.07883999620351226,0,-0.01651221019213342,-0.1746809377316218,0,0,70,0,0,0
340,17.0,0.33471137332926215,3.9859714369980175,-3.5,-0.8348199055927814,0.07010178610161062,0,-0.014682083748022866,-0.17484427216538714,0,0,70,0,0,0
341,17.05,0.29295278851052675,3.9892579088978324,-3.5,-0.835508222657894,0.061355888548887634,0,-0.0128503472479773,-0.17498843295439367,0,0,70,0,0,0
342,17.1,0.2511620781172539,3.9921069137130862,-3.5,-0.8361049168310702,0.05260326263156742,0,-0.01101720156254578,-0.17511340428978636,0,0,70,0,0,0
343,17.15,0.20934382497177495,3.9945181390182953,-3.5,-0.8366099226780699,0.04384486817371438,0,-0.009182847716810268,-0.17521917246704996,0,0,70,0,0,0
344,17.200000000000003,0.1675026149167982,3.9964913203954335,-3.5,-0.837023184819311,0.035081665631979536,0,-0.007347486868341363,-0.17530572588751195,0,0,70,0,0,0
345,17.25,0.12564303631251228,3.9980262414629264,-3.5,-0.8373446579359427,0.0263146159902737,0,-0.0055113202851386905,-0.1753730550596144,0,0,70,0,0,0
346,17.3,0.08376967953342795,3.999122733899382,-3.5,-0.8375743067748151,0.017544680654385955,0,-0.0036745493235598586,-0.17542115259995486,0,0,70,0,0,0
347,17.35,0.04188713646498332,3.9997806774620486,-3.5,-0.8377121061523451,0.008772821346553682,0,-0.0018373754062392508,-0.17545001323409604,0,0,70,0,0,0
348,17.4,8.881784197001252e-16,4.0,-3.5,-0.8377580409572781,2.3731753839304145e-16,0,-4.9703669012239506e-17,-0.17545963379714413,0,0,70,0,0,0
349,17.450000000000003,-0.041887136464983765,3.9997806774620486,-3.5,-0.8377121061523451,-0.008772821346553767,0,0.0018373754062392686,-0.17545001323409604,0,0,70,0,0,0
350,17.5,-0.08376967953342751,3.999122733899382,-3.5,-0.8375743067748151,-0.017544680654385848,0,0.003674549323559836,-0.17542115259995486,0,0,70,0,0,0
351,17.55,-0.12564303631251317,3.9980262414629264,-3.5,-0.8373446579359427,-0.026314615990273786,0,0.005511320285138708,-0.1753730550596144,0,0,70,0,0,0
352,17.6,-0.16750261491679863,3.9964913203954335,-3.5,-0.837023184819311,-0.03508166563197961,0,0.007347486868341379,-0.17530572588751195,0,0,70,0,0,0
353,17.65,-0.2093438249717745,3.9945181390182953,-3.5,-0.8366099226780699,-0.043844868173714274,0,0.009182847716810248,-0.17521917246704996,0,0,70,0,0,0
354,17.700000000000003,-0.25116207811725433,3.9921069137130862,-3.5,-0.8361049168310702,-0.0526032626315675,0,0.011017201562545795,-0.17511340428978636,0,0,70,0,0,0
355,17.75,-0.29295278851052675,3.9892579088978324,-3.5,-0.835508222657894,-0.06135588854888772,0,0.012850347247977317,-0.17498843295439367,0,0,70,0,0,0
356,17.8,-0.33471137332926215,3.9859714369980175,-3.5,-0.8348199055927814,-0.0701017861016107,0,0.014682083748022884,-0.17484427216538714,0,0,70,0,0,0
357,17.85,-0.3764332532740564,3.98224785841232,-3.5,-0.8340400411174554,-0.07883999620351216,0,0.016512210192133395,-0.1746809377316218,0,0,70,0,0,0
358,17.9,-0.4181138530706132,3.9780875814730936,-3.5,-0.8331687147528439,-0.08756956061138406,0,0.018340525886320687,-0.17449844756455896,0,0,70,0,0,0
359,17.950000000000003,-0.4597486019714667,3.973491062401586,-3.5,-0.8322060220497016,-0.09628952203011587,0,0.02016683033516564,-0.17429682167630187,0,0,70,0,0,0
360,18.0,-0.5013329342572166,3.9684588052579115,-3.5,-0.8311520685781322,-0.10499892421767242,0,0.02199092326380474,-0.1740760821774013,0,0,70,0,0,0
